CustomerID,Gender,Age,SubscriptionType,MonthlyCharges,TenureMonths,NumSupportTickets,AutoRenew,PaymentMethod,Churn
CUST1000,Male,34.0,Standard,65.25,16.0,1.0,No,Credit Card,No
CUST1001,Female,26.0,Premium,16.0,68.0,1.0,No,PayPal,No
CUST1002,Male,50.0,Basic,56.66,48.0,1.0,No,Credit Card,No
CUST1003,Male,37.0,Premium,23.52,56.0,1.0,No,PayPal,No
CUST1004,Male,30.0,Premium,76.37,64.0,3.0,Yes,PayPal,No
CUST1005,Female,45.0,Basic,56.1,59.0,1.0,No,PayPal,No
CUST1006,Male,65.0,Basic,71.22,62.0,2.0,Yes,Credit Card,Yes
CUST1007,Male,46.0,Premium,13.75,11.0,2.0,No,Credit Card,No
CUST1008,Male,30.0,Basic,17.63,18.0,2.0,Yes,Credit Card,No
CUST1009,Female,63.0,Standard,74.47,19.0,2.0,No,Bank Transfer,No
CUST1010,Male,52.0,Standard,16.49,55.0,0.0,No,PayPal,Yes
CUST1011,Male,23.0,Basic,16.41,26.0,2.0,No,Bank Transfer,No
CUST1012,Male,35.0,Premium,11.09,6.0,5.0,No,PayPal,No
CUST1013,Male,68.0,Basic,96.09,4.0,0.0,No,Credit Card,No
CUST1014,Female,22.0,Basic,76.38,29.0,1.0,No,PayPal,Yes
CUST1015,Male,64.0,Premium,41.79,59.0,1.0,Yes,PayPal,Yes
CUST1016,Female,42.0,Premium,36.69,17.0,2.0,No,Bank Transfer,No
CUST1017,Female,19.0,Standard,41.47,43.0,0.0,Yes,PayPal,No
CUST1018,Female,27.0,Premium,79.72,66.0,0.0,No,Credit Card,No
CUST1019,Male,47.0,Standard,69.52,34.0,2.0,Yes,PayPal,No
CUST1020,Female,67.0,Premium,26.67,8.0,0.0,Yes,PayPal,No
CUST1021,Male,62.0,Basic,25.67,13.0,1.0,Yes,PayPal,No
CUST1022,Female,22.0,Standard,18.86,8.0,4.0,Yes,Bank Transfer,No
CUST1023,Female,50.0,Standard,69.43,65.0,2.0,Yes,PayPal,No
CUST1024,Female,18.0,Standard,78.79,43.0,2.0,Yes,PayPal,Yes
CUST1025,Female,35.0,Basic,33.85,39.0,0.0,No,Bank Transfer,Yes
CUST1026,Female,49.0,Basic,11.89,59.0,3.0,Yes,Bank Transfer,No
CUST1027,Female,64.0,Basic,17.4,44.0,2.0,No,Bank Transfer,Yes
CUST1028,Female,66.0,Basic,97.11,9.0,1.0,No,Bank Transfer,No
CUST1029,Female,28.0,Basic,36.59,37.0,2.0,Yes,Credit Card,Yes
CUST1030,Male,38.0,Standard,79.23,36.0,3.0,Yes,Credit Card,No
CUST1031,Male,43.0,Basic,66.22,28.0,1.0,No,PayPal,No
CUST1032,Female,42.0,Standard,44.37,42.0,0.0,Yes,Credit Card,No
CUST1033,Female,39.0,Basic,28.51,43.0,0.0,Yes,PayPal,Yes
CUST1034,Female,44.0,Premium,20.92,42.0,1.0,Yes,Credit Card,No
CUST1035,Male,66.0,Standard,65.35,66.0,3.0,Yes,Bank Transfer,No
CUST1036,Female,30.0,Premium,79.72,55.0,2.0,Yes,Bank Transfer,No
CUST1037,Male,50.0,Standard,67.95,48.0,1.0,Yes,Credit Card,Yes
CUST1038,Male,51.0,Premium,57.73,22.0,0.0,Yes,Credit Card,No
CUST1039,Male,58.0,Basic,13.78,27.0,0.0,No,PayPal,No
CUST1040,Male,52.0,Basic,97.16,67.0,1.0,Yes,PayPal,No
CUST1041,Male,18.0,Basic,81.88,13.0,1.0,No,PayPal,No
CUST1042,Female,38.0,Standard,36.35,45.0,5.0,No,Bank Transfer,Yes
CUST1043,Female,65.0,Premium,98.2,10.0,4.0,No,Bank Transfer,No
CUST1044,Female,23.0,Basic,64.17,9.0,2.0,No,Bank Transfer,No
CUST1045,Female,45.0,Premium,62.42,54.0,1.0,Yes,Bank Transfer,No
CUST1046,Female,34.0,Premium,77.33,27.0,0.0,No,PayPal,No
CUST1047,Male,22.0,Basic,83.06,34.0,0.0,No,Bank Transfer,Yes
CUST1048,Female,48.0,Basic,69.08,1.0,0.0,No,Bank Transfer,No
CUST1049,Female,22.0,Premium,21.53,32.0,1.0,No,Bank Transfer,Yes
CUST1050,Male,55.0,Basic,40.44,71.0,2.0,No,Bank Transfer,No
CUST1051,Female,20.0,Basic,93.53,67.0,3.0,Yes,Credit Card,No
CUST1052,Male,40.0,Basic,30.22,20.0,2.0,Yes,PayPal,No
CUST1053,Female,54.0,Standard,43.5,35.0,0.0,No,PayPal,No
CUST1054,Male,54.0,Premium,48.89,17.0,1.0,Yes,Bank Transfer,No
CUST1055,Female,27.0,Premium,49.55,18.0,3.0,Yes,Credit Card,No
CUST1056,Female,27.0,Standard,65.16,45.0,0.0,No,PayPal,No
CUST1057,Male,36.0,Premium,94.88,53.0,0.0,No,PayPal,Yes
CUST1058,Male,34.0,Basic,31.66,68.0,3.0,No,Bank Transfer,Yes
CUST1059,Male,38.0,Premium,20.94,65.0,0.0,Yes,Bank Transfer,No
CUST1060,Male,31.0,Basic,27.77,1.0,0.0,No,PayPal,No
CUST1061,Male,26.0,Standard,89.82,58.0,1.0,Yes,PayPal,Yes
CUST1062,Male,63.0,Basic,68.12,26.0,3.0,Yes,Credit Card,No
CUST1063,Male,18.0,Premium,35.73,20.0,1.0,Yes,PayPal,No
CUST1064,Male,68.0,Premium,83.44,10.0,1.0,No,PayPal,No
CUST1065,Female,62.0,Premium,87.52,59.0,2.0,Yes,Bank Transfer,No
CUST1066,Female,30.0,Standard,86.19,41.0,1.0,No,PayPal,No
CUST1067,Male,21.0,Standard,92.7,5.0,1.0,No,Bank Transfer,No
CUST1068,Female,18.0,Premium,32.7,65.0,2.0,No,PayPal,No
CUST1069,Female,66.0,Basic,77.95,17.0,2.0,No,PayPal,Yes
CUST1070,Female,57.0,Standard,51.45,22.0,1.0,No,PayPal,No
CUST1071,Female,49.0,Premium,85.78,41.0,4.0,Yes,Credit Card,No
CUST1072,Male,51.0,Premium,75.56,68.0,1.0,Yes,Bank Transfer,No
CUST1073,Female,45.0,Standard,79.88,69.0,0.0,Yes,Credit Card,No
CUST1074,Male,48.0,Standard,69.05,11.0,1.0,Yes,PayPal,No
CUST1075,Female,25.0,Standard,25.97,56.0,0.0,Yes,Credit Card,No
CUST1076,Female,56.0,Basic,59.05,51.0,1.0,No,Bank Transfer,No
CUST1077,Female,43.0,Basic,98.62,21.0,0.0,No,PayPal,No
CUST1078,Male,51.0,Premium,94.36,26.0,2.0,Yes,Credit Card,No
CUST1079,Female,20.0,Standard,13.89,19.0,2.0,Yes,Credit Card,No
CUST1080,Male,67.0,Basic,24.83,60.0,2.0,Yes,Bank Transfer,No
CUST1081,Female,29.0,Standard,21.86,71.0,1.0,No,Credit Card,No
CUST1082,Male,18.0,Premium,75.34,47.0,1.0,No,Bank Transfer,No
CUST1083,Female,61.0,Basic,83.6,71.0,0.0,No,PayPal,No
CUST1084,Male,22.0,Basic,29.22,26.0,1.0,Yes,PayPal,Yes
CUST1085,Male,47.0,Basic,55.53,40.0,2.0,Yes,Credit Card,No
CUST1086,Female,47.0,Premium,85.66,5.0,2.0,Yes,PayPal,No
CUST1087,Male,34.0,Standard,75.95,21.0,2.0,Yes,PayPal,Yes
CUST1088,Female,65.0,Basic,58.8,4.0,2.0,No,Credit Card,No
CUST1089,Female,64.0,Premium,63.13,23.0,1.0,Yes,PayPal,No
CUST1090,Female,40.0,Standard,55.75,15.0,2.0,Yes,Credit Card,No
CUST1091,Female,32.0,Premium,36.78,8.0,4.0,Yes,Bank Transfer,Yes
CUST1092,Female,54.0,Standard,60.85,41.0,1.0,No,Bank Transfer,No
CUST1093,Female,38.0,Premium,72.0,19.0,0.0,No,Bank Transfer,No
